Source;Target;Weight
@xaviertrias;@miguelvicente_;13
@municipalsbcn;@cupbarcelona;19
@syriza_es;@bcnencomu;98
@mrenau;@xaviertrias;39
@xaviertrias;@carlesagusti;72
@carinamejias;@gaab75;21
@adacolau;@thegreatwyoming;15
@pablo_iglesias_;@agarzon;20
@pablo_iglesias_;@jordievole;16
@agarzon;@adacolau;51
@podem_cat;@nu_alabao;14
@cstorredembarra;@carinamejias;14
@mareablancall;@ivallets;11
@ivallets;@cupnacional;22
@didakusclan;@xaviertrias;12
@epcatalunya;@xaviertrias;39
@icveuiabcn;@ricardgoma;148
@pscsarria;@pscbarcelona;13
@albertofdezxbcn;@ppopular;107
@luisfergegea;@nucarmona;18
@luisfergegea;@xaviertrias;12
@arguellesllanos;@carinamejias;54
@arguellesllanos;@samuarq26;43
@carinamejias;@samuarq26;75
@carinamejias;@gebelque;83
@santiferpa;@mlgahora;28
@santiferpa;@bcnencomu;23
@mlgahora;@bcnencomu;62
@g6gracia;@esquerra_erc;20
@g6gracia;@erc_gracia;31
@esquerra_erc;@erc_gracia;23
@esquerra_erc;@ciudadanoscs;18
@jordiperis2015;@manuelacarmena;17
@jordiperis2015;@carnecrudaradio;17
@albertortas;@xaviertrias;53
@cdcbarcelona;@xaviertrias;50
@trinijove;@xaviertrias;13
@hibai_;@capgirembcn;33
@llambrichtoni;@quicoventallo;12
@llambrichtoni;@adacolau;12
@llambrichtoni;@pablo_iglesias_;12
@podem_cat;@la_directa;10
@erc_eixample;@alfredbosch;80
@jesussanchez__;@cayo_lara;20
@jesussanchez__;@zurine3;18
@jesussanchez__;@7josean7;17
@jesussanchez__;@tercerarepblica;17
@jesussanchez__;@gllamazares;13
@cayo_lara;@zurine3;18
@cayo_lara;@7josean7;17
@cayo_lara;@tercerarepblica;17
@cayo_lara;@gllamazares;13
@zurine3;@7josean7;17
@zurine3;@tercerarepblica;15
@zurine3;@gllamazares;11
@7josean7;@tercerarepblica;15
@7josean7;@gllamazares;10
@tercerarepblica;@gllamazares;10
@jesussanchez__;@raholaoficial;18
@jesussanchez__;@adacolau;17
@la_pah;@adacolau;1063
@stopdesahucios;@adacolau;14
@cayo_lara;@raholaoficial;17
@cayo_lara;@adacolau;16
@zurine3;@raholaoficial;15
@zurine3;@adacolau;14
@7josean7;@raholaoficial;14
@7josean7;@adacolau;14
@tercerarepblica;@raholaoficial;14
@tercerarepblica;@adacolau;13
@gllamazares;@raholaoficial;10
@gllamazares;@adacolau;15
@raholaoficial;@adacolau;35
@pilos2014;@carinamejias;18
@cupbarcelona;@bbva;10
@coquegarcia;@iniciativa;10
@coquegarcia;@bcnencomu;21
@iniciativa;@bcnencomu;152
@vilaweb;@bcnencomu;14
@marcrius1;@adacolau;29
@marcrius1;@bcnencomu;52
@adacolau;@laiaortiz;374
@dinglada1;@jaumecollboni;10
@xaviertrias;@la_directa;29
@aranzadi2015;@bcnencomu;12
@silviaglaa;@adacolau;144
@angelsmcastells;@adacolau;145
@xtomas;@;35
@urixturing;@bcnencomu;25
@fundernestlluch;@rbalibros;112
@lbassets;@pscbarcelona;11
@jaumecollboni;@discapacitatpsc;30
@jaumecollboni;@pilardl;71
@pscbarcelona;@discapacitatpsc;32
@pscbarcelona;@pilardl;68
@discapacitatpsc;@pilardl;22
@junqueras;@llsalvado;10
@junqueras;@ercbcn;75
@podemosbp;@podem_bcn;61
@podemosbp;@podem_cat;22
@janetsanz;@avvcmeridiana;61
@janetsanz;@500x20;20
